delivery_id,date,time,origin_warehouse,destination_city,destination_country,client_name,product_type,product_grade,volume_kg,distance_km,delivery_time_hours,transport_cost_eur,delivery_status,delay_hours
DEL818468,04-21-2024,17:31,Warehouse_DE_Hamburg,Katowice,PL,Client_21,Butter,A,2235,677,8.4,885.05,Delayed,3.8
DEL571413,15/02/2024,15:52,Warehouse_PL_Warsaw,Nice,FR,Client_10,Butter,C,1569,1442,19.5,1418.34,On-time,0
DEL791288,08/01/2024,20:51,Warehouse_PL_Warsaw,Tilburg,NL,Client_33,Cheese,,1155,1114,16.8,874.36,On-time,0
DEL848035,31/01/2024,,Warehouse_DE_Hamburg,Rome,IT,Client_8,Butter,A,1672,1577,18.9,1908.76,On-time,0
DEL750579,25/03/2024,06:05,Warehouse_PL_Warsaw,Barcelona,ES,Client_8,SMP,,5468,2355,31.5,1779.42,On-time,0
DEL922359,15/02/2024,09:35,Warehouse_FR_Paris,Katowice,PL,Client_16,SMP,,4747,1497,23.9,1177.45,On-time,0
DEL197734,24/02/2024,21:58,Warehouse_FR_Paris,Berlin,DE,Client_23,SMP,,7248,702,9.4,653.54,Delayed,4.7
DEL839196,05/04/2024,21:32,Warehouse_FR_Paris,Marseille,FR,Client_19,Butter,A,2369,177,2.1,246.52,On-time,0
DEL336001,14/02/2024,,Warehouse_DE_Hamburg,Ghent,BE,Client_4,Butter,A,1961,591,8.4,754.89,On-time,0
DEL286253,08/05/2024,05:58,Warehouse_PL_Warsaw,Eindhoven,NL,Client_18,SMP,,3017,1095,16.5,794.78,Delayed,7.2
DEL328158,30/05/2024,22:49,Warehouse_PL_Warsaw,Breda,NL,Client_35,Butter,B,1819,1010,16.2,1062.35,On-time,0
DEL247561_DUP,01/05/2024,09:01,Warehouse_FR_Paris,Stuttgart,DE,Client_1,Butter,A,2024,741,10.1,845.36,Delayed,8
DEL185557,15/01/2024,19:04,Warehouse_FR_Paris,Lublin,PL,Client_6,SMP,,4745,1421,,1362.4,On-time,0
DEL301456,23/06/2024,19:40,Warehouse_DE_Hamburg,Berlin,DE,Client_29,SMP,,7368,406,6,393.97,On-time,0
DEL653554,20/04/2024,03:15:42,Warehouse_DE_Hamburg,Valencia,ES,Client_22,SMP,,2592,1754,21.9,1510.15,On-time,
DEL656612,03/06/2024,04:30,Warehouse_FR_Paris,Florence,IT,Client_13,SMP,,,914,13.3,839.42,On-time,0
DEL107784,18/03/2024,17:30,Warehouse_FR_Paris,Frankfurt,DE,Client_25,Cheese,,3210,752,12,747,On-time,0
DEL587828,10/03/2024,06:21,Warehouse_DE_Hamburg,Rome,IT,Client_20,Butter,A,2326,1590,23.8,1842.88,Delayed,9
DEL949062,22/04/2024,11:10,Warehouse_FR_Paris,Lodz,PL,Client_33,Butter,A,1636,1629,23,1841.52,On-time,0
DEL660857,30/04/2024,,Warehouse_FR_Paris,Almere,NL,Client_8,Butter,A,2208,402,5,530.45,Delayed,
DEL438869,15/01/2024,23:04,Warehouse_PL_Warsaw,Utrecht,NL,Client_26,SMP,,5844,1091,15.9,1055.68,Delayed,9.7
DEL210227,12/01/2024,03:44,Warehouse_DE_Hamburg,Montpellier,FR,Client_14,SMP,,,946,13.8,801.7,On-time,0
DEL431601,04/01/2024,12:13,Warehouse_FR_Paris,Nice,FR,Client_24,SMP,,2515,407,5,329.54,On-time,0
DEL434480,05-22-2024,14:08,Warehouse_PL_Warsaw,Berlin,DE,Client_16,Butter,A,2509,616,8.9,2392.015254,On-time,0
DEL183029,02/05/2024,09:09,Warehouse_DE_Hamburg,Breda,NL,Client_16,Butter,A,1955,316,4.5,420.64,Delayed,2.8
DEL287953,04/04/2024,11:07,Warehouse_DE_Hamburg,Charleroi,BE,Client_17,Butter,A,2278,411,6.7,154.5739615,On-time,0
DEL370346,28/03/2024,11:49,Warehouse_DE_Hamburg,Zaragoza,ES,Client_18,Cheese,,2749,1597,21.9,1684.11,On-time,0
DEL541425,05/04/2024,11:39:35,Warehouse_PL_Warsaw,Munich,DE,Client_14,Butter,A,1960,682,7.9,705.07,Delayed,
DEL469988_DUP,27/03/2024,12:49,Warehouse_PL_Warsaw,Krakow,PL,Client_4,Cheese,,4235,345,4.9,369.63,On-time,0
DEL849082,14/01/2024,00:34,Warehouse_PL_Warsaw,The Hague,NL,Client_14,SMP,,7337,1089,12.6,1102.55,On-time,0
DEL146177,01/04/2024,07:02,Warehouse_FR_Paris,Poznan,PL,Client_10,SMP,,4476,1542,23.9,1400.9,On-time,0
DEL380633,15/04/2024,09:50,Warehouse_PL_Warsaw,Liege,BE,Client_9,Cheese,,3661,1257,19.1,1287.18,On-time,0
DEL319459,20/05/2024,00:23,Warehouse_FR_Paris,Essen,DE,Client_8,Butter,B,2906,698,9.2,1037.02,On-time,0
DEL965322,08/01/2024,02:02,Warehouse_PL_Warsaw,Zaragoza,ES,Client_14,Cheese,,4013,2584,31,2687.85,On-time,0
DEL284651,18/04/2024,13:08,Warehouse_FR_Paris,Montpellier,FR,Client_33,Cheese,,4597,291,3.7,308.79,On-time,0
DEL277723,01/06/2024,23:17,Warehouse_DE_Hamburg,Eindhoven,NL,Client_31,Butter,A,1625,464,5.6,580.97,On-time,0
DEL218711,24/01/2024,04:38,Warehouse_PL_Warsaw,Charleroi,BE,Client_14,Cheese,,3651,1108,12.8,1230.14,On-time,0
DEL573566,26/01/2024,18:40,Warehouse_FR_Paris,Cologne,DE,Client_16,SMP,,5207,868,13.4,822.6,On-time,0
DEL869407,09/01/2024,08:19,Warehouse_DE_Hamburg,Dortmund,DE,Client_21,Cheese,,4586,253,3.2,288.22,On-time,0
DEL870446,31/03/2024,11:56,Warehouse_FR_Paris,Rome,IT,Client_9,Butter,A,,900,10.5,1083.19,On-time,0
DEL685750,07/03/2024,03:48,Warehouse_PL_Warsaw,Bydgoszcz,PL,Client_26,Butter,C,1844,391,5.5,444.32,On-time,0
DEL697149,07/04/2024,01:22,Warehouse_PL_Warsaw,Groningen,NL,Client_31,SMP,,5095,1122,15,1077.88,On-time,0
DEL144705,23/06/2024,18:24:30,Warehouse_DE_Hamburg,Lille,FR,Client_17,SMP,,6009,1073,13.4,918.11,On-time,0
DEL480805,30/05/2024,16:28,Warehouse_FR_Paris,Paris,FR,Client_11,SMP,,3398,440,6.4,359.82,On-time,0
DEL643204,14/04/2024,,Warehouse_PL_Warsaw,Valencia,ES,Client_2,Butter,A,1193,2263,106.155685,2652.15,Delayed,9.9
DEL955961,12/05/2024,,Warehouse_PL_Warsaw,Strasbourg,FR,Client_30,SMP,,4425,1446,18.1,1196.69,On-time,0
DEL249241,15/06/2024,23:57,Warehouse_FR_Paris,Ghent,BE,Client_8,SMP,,5656,276,3.6,226.17,On-time,0
DEL650387,19/05/2024,05:52:04,Warehouse_PL_Warsaw,Lille,FR,Client_28,Butter,A,1277,1566,20.4,1947.78,Delayed,9
DEL770487,29/01/2024,00:47,Warehouse_FR_Paris,Nantes,FR,Client_22,SMP,,5745,392,5.6,307.72,On-time,0
DEL687753,26/05/2024,22:13,Warehouse_PL_Warsaw,Strasbourg,FR,Client_22,Butter,C,1924,1511,19.2,2021.7,On-time,0
DEL288674,13/03/2024,16:37,Warehouse_DE_Hamburg,Berlin,DE,Client_24,Butter,B,2310,444,5.3,549.66,Delayed,9.7
DEL269976,27/02/2024,22:48,Warehouse_PL_Warsaw,Berlin,DE,Client_7,Butter,A,2205,675,8.3,787.02,On-time,0
DEL459282,12/04/2024,12:50,Warehouse_PL_Warsaw,Antwerp,BE,Client_14,SMP,,,1279,16.6,1099,On-time,0
DEL105194,11/04/2024,07:08,Warehouse_FR_Paris,Seville,ES,Client_22,SMP,,4625,1105,15.6,960.02,Delayed,3.6
DEL235153,20/05/2024,01:11,Warehouse_DE_Hamburg,Groningen,NL,Client_15,SMP,,4427,487,6.3,423.19,On-time,0
DEL179006,11/06/2024,04:24:07,Warehouse_DE_Hamburg,Nijmegen,NL,Client_9,Butter,B,,468,5.9,627.55,Delayed,5.5
DEL191360,20/06/2024,14:03,Warehouse_PL_Warsaw,Almere,NL,Client_8,SMP,,7810,1006,13.4,1041.75,On-time,0
DEL347283,29/05/2024,05:39,Warehouse_FR_Paris,Berlin,DE,Client_11,Cheese,,2361,787,9.5,649.82,On-time,0
DEL346849,21/03/2024,01:22,Warehouse_DE_Hamburg,Naples,IT,Client_18,SMP,,4672,1398,16.1,1027.84,Delayed,6.6
DEL132715,07/06/2024,01:54,Warehouse_DE_Hamburg,Montpellier,FR,Client_20,Butter,B,1101,970,12.5,1001.03,On-time,0
DEL420767,17/06/2024,13:24,Warehouse_FR_Paris,Charleroi,BE,Client_4,Butter,B,2303,255,3,344.83,On-time,0
DEL809243,27/04/2024,17:01,Warehouse_DE_Hamburg,Florence,IT,Client_14,SMP,,4963,1585,18.9,1387.58,On-time,0
DEL484002,26/06/2024,13:53,Warehouse_FR_Paris,Lille,FR,Client_12,Butter,A,1533,241,3.8,316.96,Delayed,4.1
DEL351037,01/11/2024,08:55,Warehouse_PL_Warsaw,Lille,FR,Client_6,Butter,C,,1655,19.2,2372.07,Delayed,9.1
DEL512074,15/04/2024,04:04,Warehouse_FR_Paris,Nijmegen,NL,Client_31,SMP,,5982,449,5.8,374.03,On-time,0
DEL907968,29/03/2024,01:16,Warehouse_FR_Paris,Seville,ES,Client_20,Cheese,,3788,886,12.4,1034.2,On-time,0
DEL467067,05-19-2024,09:51,Warehouse_FR_Paris,Rotterdam,NL,Client_23,SMP,,3593,453,6.6,387.92,On-time,0
DEL773645,29/03/2024,12:10,Warehouse_FR_Paris,Szczecin,PL,Client_35,SMP,,6532,1592,21.7,1511.48,Delayed,5.7
DEL682753,20/06/2024,09:13,Warehouse_PL_Warsaw,Eindhoven,NL,Client_5,SMP,,,1159,17.1,838.52,On-time,0
DEL554681,29/01/2024,07:26,Warehouse_FR_Paris,Nijmegen,NL,Client_28,SMP,,6523,432,6.2,374.04,Delayed,10.3
DEL822502,03-13-2024,01:25,Warehouse_FR_Paris,Almere,NL,Client_31,Cheese,,3304,420,5.8,434.28,On-time,0
DEL907400,05/03/2024,14:05,Warehouse_FR_Paris,Krakow,PL,Client_24,SMP,,3590,1515,19.8,1033.22,Delayed,3.9
DEL695512,18/03/2024,13:44,Warehouse_DE_Hamburg,Montpellier,FR,Client_10,Cheese,,4113,989,15.2,1135.59,On-time,0
DEL386764,27/05/2024,06:50,Warehouse_DE_Hamburg,Seville,ES,Client_25,Butter,A,2372,1679,,1904.11,Delayed,5.6
DEL884374,09/01/2024,19:22,Warehouse_FR_Paris,Amsterdam,NL,Client_2,Cheese,,2804,466,6.4,492.83,On-time,0
DEL188577,02/06/2024,19:39,Warehouse_FR_Paris,Tilburg,NL,Client_5,SMP,,6915,454,7.1,474.33,On-time,0
DEL674707,14/06/2024,,Warehouse_DE_Hamburg,Bremen,DE,Client_25,Butter,C,1696,351,4.4,370.82,On-time,0
DEL169575,08/05/2024,08:40:06,Warehouse_PL_Warsaw,Berlin,DE,Client_1,SMP,,5933,726,10.4,711.71,Delayed,10.3
DEL499400,21/03/2024,05:53,Warehouse_PL_Warsaw,Bordeaux,FR,Client_16,Butter,A,2473,1419,16.8,1835.12,On-time,0
DEL468803,09/01/2024,18:09,Warehouse_FR_Paris,Paris,FR,Client_15,Butter,B,2935,373,6,447.62,On-time,0
DEL337418,01/04/2024,19:31,Warehouse_FR_Paris,Paris,FR,Client_22,Butter,A,2149,212,2.7,272.6,On-time,0
DEL309980,29/06/2024,17:06,Warehouse_FR_Paris,Bordeaux,FR,Client_9,Butter,C,2157,453,6.1,494.11,On-time,0
DEL276831_DUP,02/01/2024,10:15,Warehouse_DE_Hamburg,Madrid,ES,Client_28,SMP,,4849,1630,20.4,1544.97,On-time,0
DEL440065_DUP,04-23-2024,08:08,Warehouse_DE_Hamburg,Toulouse,FR,Client_14,Cheese,,2302,807,9.5,768.57,On-time,0
DEL473767,29/06/2024,,Warehouse_DE_Hamburg,Cologne,DE,Client_30,SMP,,3123,326,5,276.98,On-time,0
DEL871671,03/05/2024,23:53,Warehouse_PL_Warsaw,Seville,ES,Client_6,SMP,,7379,2204,31.8,2077.27,Delayed,4.1
DEL193618,06/05/2024,14:25,Warehouse_DE_Hamburg,Breda,NL,Client_28,SMP,,4606,431,5.6,378.7,On-time,0
DEL167480,10/01/2024,20:38,Warehouse_PL_Warsaw,Turin,IT,Client_16,Butter,C,1910,1449,17.6,1705.87,Delayed,2.2
DEL640358,29/01/2024,15:48,Warehouse_PL_Warsaw,Nantes,FR,Client_11,Butter,A,2774,1682,19.7,2048.13,On-time,0
DEL977546,17/04/2024,08:03,Warehouse_PL_Warsaw,Lyon,FR,Client_21,SMP,,3584,1691,22.5,1241.28,Delayed,2.6
DEL285625,11/02/2024,04:38,Warehouse_FR_Paris,Krakow,PL,Client_5,Butter,B,1588,1442,22.4,1563.97,On-time,0
DEL297389,03/10/2024,06:11,Warehouse_FR_Paris,Strasbourg,FR,Client_17,SMP,,6134,113,1.6,90.36,On-time,0
DEL726981,23/01/2024,,Warehouse_FR_Paris,Brussels,BE,Client_34,Cheese,,2843,293,3.7,284.23,Delayed,11.6
DEL988869,26/06/2024,02:50,Warehouse_DE_Hamburg,Cologne,DE,Client_29,SMP,,4305,251,4,183.69,On-time,0
DEL983665,19/02/2024,23:32,Warehouse_DE_Hamburg,Liege,BE,Client_34,SMP,,6256,467,7.2,361.47,Delayed,6.7
DEL662917,06/01/2024,12:25:24,Warehouse_FR_Paris,Zaragoza,ES,Client_19,Cheese,,3253,991,12.3,1069.87,On-time,0
DEL962269,26/06/2024,,Warehouse_FR_Paris,Nice,FR,Client_14,Butter,C,1774,141,2.1,166.98,On-time,0
DEL198224,25/04/2024,14:17,Warehouse_PL_Warsaw,Turin,IT,Client_6,Cheese,,3224,1312,16,1397.16,On-time,0
DEL451800,21/02/2024,11:15,Warehouse_FR_Paris,Poznan,PL,Client_18,Butter,C,2412,1542,22,2207.54,On-time,0
DEL313588,15/04/2024,17:50,Warehouse_PL_Warsaw,Brussels,BE,Client_19,Butter,A,2511,1163,18.1,1645.65,On-time,0
DEL413433,06-28-2024,17:55,Warehouse_FR_Paris,Madrid,ES,Client_14,SMP,,4207,1002,15.5,882.28,On-time,0
DEL458074,08/04/2024,02:35,Warehouse_DE_Hamburg,Bremen,DE,Client_28,Butter,,1619,272,4.2,271.59,On-time,0
DEL718723,12/05/2024,23:09,Warehouse_DE_Hamburg,Zaragoza,ES,Client_30,SMP,,2429,1561,20.1,1316.1,Delayed,7.1
DEL151040,03/03/2024,23:02,Warehouse_FR_Paris,Lublin,PL,Client_22,Cheese,,,1648,18.8,1764.89,On-time,0
DEL695379,09/06/2024,13:04,Warehouse_FR_Paris,Dusseldorf,DE,Client_11,Cheese,,2372,932,11.8,905.33,On-time,0
DEL971225,01/02/2024,04:30,Warehouse_FR_Paris,Barcelona,ES,Client_20,SMP,,5115,933,11.5,868.48,On-time,0
DEL310829,22/05/2024,18:22,Warehouse_FR_Paris,Rome,IT,Client_27,Butter,B,2076,1237,18.7,1441.45,On-time,0
DEL526132,16/01/2024,13:02,Warehouse_FR_Paris,Zaragoza,ES,Client_13,Butter,C,1863,1171,16.6,1455.4,On-time,
DEL102632,29/03/2024,12:42,Warehouse_FR_Paris,Antwerp,BE,Client_13,Butter,A,1943,287,,376.81,Delayed,4.6
DEL607548,10/02/2024,16:31,Warehouse_DE_Hamburg,Naples,IT,Client_5,SMP,,5914,1427,21.7,1331.65,Delayed,5.1
DEL989746,08/05/2024,08:51,Warehouse_PL_Warsaw,Ghent,BE,Client_26,Cheese,,2660,1137,13.5,1140.62,On-time,0
DEL521353,15/02/2024,00:26,Warehouse_PL_Warsaw,Katowice,PL,Client_33,SMP,,4100,126,1.9,94.43,On-time,0
DEL418957,04-23-2024,17:41,Warehouse_PL_Warsaw,Gdansk,PL,Client_5,Cheese,,3674,144,1.9,135.01,On-time,0
DEL876349,25/02/2024,18:56,Warehouse_PL_Warsaw,Cologne,DE,Client_26,Butter,A,1798,738,9.8,858.18,On-time,0
DEL596037,15/05/2024,18:13,Warehouse_FR_Paris,Munich,DE,Client_23,Butter,B,1759,745,8.9,773.37,On-time,0
DEL619879,05/04/2024,19:17,Warehouse_PL_Warsaw,Bordeaux,FR,Client_19,Cheese,,,1658,20.2,1887.65,On-time,0
DEL767068,15/04/2024,16:21,Warehouse_DE_Hamburg,Groningen,NL,Client_21,Butter,C,2375,386,4.6,510.81,On-time,0
DEL742412,09/05/2024,13:53,Warehouse_PL_Warsaw,Lublin,PL,Client_31,Butter,B,2204,250,3.5,305.43,On-time,0
DEL256045,01/04/2024,02:07,Warehouse_FR_Paris,Nijmegen,NL,Client_30,Butter,A,1445,479,7.3,519.34,On-time,0
DEL500408,11/03/2024,12:01:19,Warehouse_FR_Paris,Breda,NL,Client_17,SMP,,4103,407,5.4,334.88,On-time,0
DEL897191,03/01/2024,19:22,Warehouse_FR_Paris,The Hague,NL,Client_23,Butter,A,1856,443,7.1,558.41,Delayed,8.8
DEL176886,12/06/2024,03:50,Warehouse_DE_Hamburg,Marseille,FR,Client_10,SMP,,7030,980,13.8,2998.232841,On-time,0
DEL703325,23/06/2024,09:23,Warehouse_FR_Paris,Munich,DE,Client_8,Butter,B,1794,874,11.2,1007.31,Delayed,10.3
DEL456178,30/04/2024,23:42:04,Warehouse_PL_Warsaw,Warsaw,PL,Client_21,SMP,,4874,348,4.8,306.83,On-time,0
DEL269654,01-26-2024,06:32,Warehouse_FR_Paris,Rome,IT,Client_4,SMP,,4394,960,12.9,823.76,On-time,0
DEL654403,03/02/2024,16:34,Warehouse_DE_Hamburg,Gdansk,PL,Client_30,Cheese,,2525,680,10.7,726.74,Delayed,6.6
DEL338001,17/01/2024,04:58,Warehouse_FR_Paris,Utrecht,NL,Client_23,Cheese,,3492,476,7.6,523.59,On-time,0
DEL308430,25/06/2024,18:01,Warehouse_PL_Warsaw,Brussels,BE,Client_22,Butter,B,2804,1130,14.3,1515.4,Delayed,9.3
DEL817515,12/06/2024,20:46,Warehouse_FR_Paris,Utrecht,NL,Client_30,Butter,A,2764,433,7,640.77,Delayed,7.1
DEL307084,26/04/2024,10:51,Warehouse_DE_Hamburg,Rotterdam,NL,Client_29,Cheese,,2747,498,5.8,542.81,Delayed,11.6
DEL525205,31/01/2024,06:51,Warehouse_PL_Warsaw,Almere,NL,Client_35,SMP,,2332,1085,12.4,731.86,On-time,0
DEL903477,03/05/2024,00:07,Warehouse_FR_Paris,The Hague,NL,Client_9,Cheese,,3474,457,5.5,473.92,On-time,0
DEL659163,18/04/2024,02:45,Warehouse_FR_Paris,The Hague,NL,Client_34,Butter,B,841,401,,479.14,On-time,
DEL232461,09/03/2024,08:05,Warehouse_DE_Hamburg,The Hague,NL,Client_26,Cheese,,3860,341,5,405.03,On-time,0
DEL629949,01/02/2024,09:17,Warehouse_FR_Paris,Lodz,PL,Client_23,SMP,,5695,1604,26,1196.73,On-time,0
DEL604278,04/04/2024,15:49,Warehouse_FR_Paris,Bydgoszcz,PL,Client_14,SMP,,2569,1669,25,1176.16,On-time,0
DEL779089,24/06/2024,21:19,Warehouse_FR_Paris,Szczecin,PL,Client_6,Butter,A,2553,1556,19.1,1997.2,On-time,0
DEL436744,23/06/2024,03:59,Warehouse_FR_Paris,Stuttgart,DE,Client_20,SMP,,7843,636,9.9,579.81,On-time,0
DEL111480,01/01/2024,,Warehouse_PL_Warsaw,Liege,BE,Client_31,Butter,,1611,1124,18,1136.81,On-time,0
DEL665020,06/02/2024,03:32,Warehouse_FR_Paris,Toulouse,FR,Client_12,SMP,,6248,135,1.7,104.49,Delayed,5.3
DEL726626,30/03/2024,03:40,Warehouse_PL_Warsaw,Krakow,PL,Client_16,SMP,,4993,160,2.5,129.54,On-time,0
DEL467531,07/04/2024,10:37,Warehouse_DE_Hamburg,Brussels,BE,Client_16,SMP,,5272,445,7,369.47,On-time,0
DEL838587,17/02/2024,15:27,Warehouse_FR_Paris,Florence,IT,Client_24,Cheese,,2085,1145,15.2,1124.76,On-time,0
DEL235647,11/05/2024,13:15,Warehouse_FR_Paris,Amsterdam,NL,Client_18,Cheese,,3184,435,5.4,495.17,On-time,0
DEL817750,23/03/2024,14:47,Warehouse_FR_Paris,Cologne,DE,Client_13,Cheese,,,975,13.5,820,On-time,0
DEL258002,15/04/2024,10:29,Warehouse_DE_Hamburg,Valencia,ES,Client_31,SMP,,9377,1760,25,1498.71,On-time,0
DEL982070,03/10/2024,01:40,Warehouse_PL_Warsaw,Almere,NL,Client_22,Butter,A,2080,1142,14.6,1528,On-time,0
DEL528658,28/05/2024,18:38,Warehouse_FR_Paris,Leipzig,DE,Client_22,Butter,A,2789,733,9.3,993.4,On-time,0
DEL325274,10/04/2024,16:47,Warehouse_DE_Hamburg,Paris,FR,Client_7,SMP,,4846,1131,18.3,934.98,On-time,0
